ID	Number	Site	Area	Longitude	Latitude	Glottocode	LocalID
87-Schwabstedt	87	Schwabstedt	Nordniederdeutsch	9.18593	54.3963	high1287	107244
88-Schmannewitz	88	Schmannewitz	Obersächsisch	12.98455	51.3965	high1287	142407
89-Koeln	89	Köln	Ripuarisch	6.95506	50.94165	high1287	136211
90-Pretzsch_Wittenberg	90	Pretzsch/Wittenberg	Nordobersächsisch	12.80601	51.7136	high1287	122935
91-Herbornseelbach	91	Herbornseelbach	Zentralhessisch	8.34518	50.69923	high1287	98052
92-Moershausen	92	Mörshausen	Nordhessisch	9.44337	51.04322	high1287	97691
93-Holmkjer	93	Holmkjer	Nordniederdeutsch	9.88288	54.72756	high1287	109126
94-Maibrunn_Straubing	94	Maibrunn/Straubing	Mittelbairisch	12.7814	49.016	high1287	72112
95-Hartenfels	95	Hartenfels	Moselfränkisch	7.78567	50.57188	high1287	99852
96-Mockern_Altenburg	96	Mockern/Altenburg	Obersächsisch	12.43014	50.95277	high1287	141434
97-Wieda	97	Wieda	Thüringisch	10.58576	51.63299	high1287	117389
98-Ottowind	98	Ottowind	Ostfränkisch	10.88347	50.35401	high1287	81382
99-Haddorf	99	Haddorf	Westfälisch	7.31817	52.25446	high1287	102505
100-Kruft	100	Kruft	Moselfränkisch	7.33431	50.383	high1287	98885
101-Poettmes	101	Pöttmes	Mittelbairisch	11.09074	48.58242	high1287	74385
102-Lampertswalde	102	Lampertswalde	Obersächsisch	13.08292	51.35966	high1287	141827
103-Frohnhausen_Battenberg	103	Frohnhausen/Battenberg	Nordhessisch	8.62489	50.96621	high1287	101005
104-Juergenshagen	104	Jürgenshagen	Mecklenburgisch-Vorpommersch	11.89471	53.9533	high1287	124917
105-Altenberg_Erzg	105	Altenberg/Erzg	Obersächsisch	13.76015	50.76363	high1287	137182
106-Mirow	106	Mirow	Mecklenburgisch-Vorpommersch	12.81399	53.27493	high1287	118146
107-Vietmannsdorf	107	Vietmannsdorf	Brandenburgisch	13.53068	53.05063	high1287	124194
108-Schraden	108	Schraden	Nordobersächsisch	13.6915	51.42369	high1287	126543
109-Rammenau	109	Rammenau	Südmärkisch	14.13335	51.15263	high1287	137478
110-Siebenbach	110	Siebenbach	Moselfränkisch	7.03643	50.3804	high1287	96433
111-Schellroda	111	Schellroda	Thüringisch	11.11512	50.91724	high1287	139458
112-Osterbruch	112	Osterbruch	Nordniederdeutsch	8.94231	53.77773	high1287	114116
113-Niederasphe	113	Niederasphe	Zentralhessisch	8.66476	50.94115	high1287	98830
114-Oiste	114	Oiste	Nordniederdeutsch	9.15723	52.91245	high1287	112823
115-Valdorf	115	Valdorf	Westfälisch	8.8563326817	52.141194842	high1287	522626
116-Bockelwitz	116	Bockelwitz	Obersächsisch	12.95481	51.19788	high1287	142179
117-Niederauerbach	117	Niederauerbach	Rheinfränkisch	7.39866520384403	49.2574647664277	high1287	534317
118-Verchen	118	Verchen	Mecklenburgisch-Vorpommersch	12.90967	53.85051	high1287	122070
119-Reetz_Belzig	119	Reetz/Belzig	Brandenburgisch	12.37133	52.1102	high1287	124734
120-Kemmern	120	Kemmern	Ostfränkisch	10.87399	49.95301	high1287	92088
121-Hundisburg	121	Hundisburg	Ostfälisch	11.39951	52.24731	high1287	122830
122-Nuernberg	122	Nürnberg	Ostfränkisch	11.07393	49.45431	high1287	77404
123-Gerbstedt	123	Gerbstedt	Thüringisch	11.62803	51.63156	high1287	117816
124-Schauenstein	124	Schauenstein	Ostfränkisch	11.74264	50.27822	high1287	76974
125-Jonsdorf	125	Jonsdorf	Schlesisch	14.69458	50.85343	high1287	138617
126-Wasbek	126	Wasbek	Nordniederdeutsch	9.89498	54.07009	high1287	106665
127-Lohra	127	Lohra	Zentralhessisch	8.6312	50.73594	high1287	94235
128-Grossenwiehe	128	Grossenwiehe	Nordniederdeutsch	9.25023	54.71004	high1287	116692
129-Ruhlsdorf_Luckenwalde	129	Ruhlsdorf/Luckenwalde	Brandenburgisch	13.16846	52.12856	high1287	121678
130-Maxweiler_Uebergangsgebiet	130	Maxweiler(Übergangsgebiet)	Mittelbairisch	11.28617	48.72127	high1287	89144
131-Lohrhaupten	131	Lohrhaupten	Rheinfränkisch	9.47928	50.12751	high1287	96254
132-Wehrsdorf	132	Wehrsdorf	Südmärkisch	14.3817	51.05396	high1287	141322
133-Wildpoldsried	133	Wildpoldsried	Schwäbisch	10.40268	47.76812	high1287	77989
134-Herssum	134	Herssum	Nordniederdeutsch	7.64522	52.75389	high1287	105310
135-Seelbach	135	Seelbach	Niederalemannisch	7.94104	48.30987	high1287	132113
136-Langenbruck	136	Langenbruck	Mittelbairisch	11.51153	48.6382	high1287	73053
137-Billingsbach	137	Billingsbach	Ostfränkisch	9.89691	49.30381	high1287	131639
138-Borstendorf_Erzg	138	Borstendorf/Erzg	Obersächsisch	13.18209	50.77079	high1287	142544
139-Niedernhausen	139	Niedernhausen	Zentralhessisch	8.31848	50.16055	high1287	98815
140-Herzfeld	140	Herzfeld	Mecklenburgisch-Vorpommersch	11.76421	53.3249	high1287	119269
141-Falkenthal	141	Falkenthal	Brandenburgisch	13.30394	52.90459	high1287	118165
142-Grosswechsungen_Nordhausen	142	Großwechsungen/Nordhausen	Thüringisch	10.69225	51.49484	high1287	142132
143-Gelting	143	Gelting	Mittelbairisch	11.81097	48.19687	high1287	73067
144-Rosenthal	144	Rosenthal	Nordhessisch	8.86801	50.974	high1287	94091
145-WentorfAS	145	WentorfAS	Nordniederdeutsch	10.4776	53.67865	high1287	108547
146-Helmers	146	Helmers	Ostfränkisch	10.29392	50.72446	high1287	136865
147-Tann	147	Tann	Osthessisch	10.02256	50.64151	high1287	100345
148-Wangerooge	148	Wangerooge	Nordniederdeutsch	7.89936	53.79103	high1287	105112
149-Orferode	149	Orferode	Nordhessisch	9.93846	51.25775	high1287	100120
150-Wemb	150	Wemb	Niederfränkisch	6.17695	51.58482	high1287	103353
151-Pfaffenrot	151	Pfaffenrot	Schwäbisch	8.45861	48.86075	high1287	132665
152-Tann	152	Tann	Osthessisch	10.02256	50.64151	high1287	100345
153-Herrentrup	153	Herrentrup	Westfälisch	9.03804	51.91995	high1287	103623
154-Diekhusen-Fahrstedt	154	Diekhusen-Fahrstedt	Nordniederdeutsch	9.02855	53.93712	high1287	109582
155-Oberwuerzbach	155	Oberwürzbach	Rheinfränkisch	7.14491	49.24246	high1287	94066
156-KleinRossau	156	KleinRossau	Brandenburgisch	11.63871	52.78919	high1287	120286
157-Osterfeld	157	Osterfeld	Obersächsisch	11.92963	51.08099	high1287	125647
158-Hohenkoerben	158	Hohenkörben	Westfälisch	7.09344065618214	52.5164896720584	high1287	534207
159-Jever	159	Jever	Nordniederdeutsch	7.90327	53.574	high1287	114794
160-Landgrafroda_Querfurt	160	Landgrafroda/Querfurt	Thüringisch	11.43146	51.34975	high1287	123486
161-Ebstorf	161	Ebstorf	Nordniederdeutsch	10.4165	53.02872	high1287	112022
162-Bremscheid	162	Bremscheid	Moselfränkisch	7.38355	50.55264	high1287	97496
163-Oberviehbach	163	Oberviehbach	Mittelbairisch	12.37579	48.58109	high1287	71626
164-Einoellen	164	Einöllen	Rheinfränkisch	7.63783	49.60773	high1287	96934
165-Weidenbach	165	Weidenbach	Ostfränkisch	10.64359	49.19811	high1287	81534
166-Hesselteich	166	Hesselteich	Westfälisch	8.23615	52.0266	high1287	101858
167-Hohwacht	167	Hohwacht	Nordniederdeutsch	10.67269	54.31969	high1287	110821
168-Herdecke	168	Herdecke	Westfälisch	7.43174	51.40055	high1287	102156
169-GrossMohrdorf	169	GroßMohrdorf	Mecklenburgisch-Vorpommersch	12.94792	54.38842	high1287	121905
170-Iversheim	170	Iversheim	Ripuarisch	6.7722	50.58589	high1287	136417
171-Breddin	171	Breddin	Brandenburgisch	12.22293	52.88514	high1287	120820
172-Huddestorf	172	Huddestorf	Nordniederdeutsch	8.96733	52.47656	high1287	116468
173-Kuhstedt	173	Kuhstedt	Nordniederdeutsch	8.96325	53.38118	high1287	115354
174-Dreeke	174	Dreeke	Nordniederdeutsch	8.48841	52.67496	high1287	114506
175-Bennin	175	Bennin	Mecklenburgisch-Vorpommersch	10.88412	53.44636	high1287	118512
176-Exdorf	176	Exdorf	Ostfränkisch	10.54374	50.45702	high1287	139171
177-Hammah	177	Hammah	Nordniederdeutsch	9.36457	53.62058	high1287	117629
178-Standard	178	Standard	Standard			stan1295	999
