Concept	LID	WNUM	LName	Sampa	Tokens	CV	Classes	Sonority	Type	Filename
Bruder	96433	51	Siebenbach	"bRo:_\.d6	ˈb ʁ oː̂ . d ɐ 	2	CCVC.CV	PLV:.PV	521.51	s.w	WEC89AW1_g
Bruder	142132	52	Großwechsungen/Nordhausen	"bRu:.d6	ˈb ʁ uː . d ɐ 	2	CCVC.CV	PLV:.PV	521.51	s.w	WEG86AW1_g
Bruder	102505	53	Haddorf	"bRo:.6	ˈb ʁ oː . ɐ 	2	CCVC.V	PLV:.V	521.1	s.w	WEG06AW1_g
Bruder	107979	54	Bardenfleth	"bRo:@	ˈb ʁ oːə 	1	CCVC	PLVV	521	s	WEJ61AW1_g
Bruder	120233	55	KirchKogel	"bRaU.d@	ˈb ʁ aʊ . d ə 	2	CCVC.CV	PLVV.PV	521.51	s.w	WEG41AW1_g
Bruder	100345	56	Tann	"bRu:.dR	ˈb ʁ uː . d ʁ 	2	CCVC.CV	PLV:.PL	521.52	s.w	WED24AW1_g
Bruder	124534	57	Hagen	"bRoU.d@	ˈb ʁ oʊ . d ə 	2	CCVC.CV	PLVV.PV	521.51	s.w	WEG52AW1_g
Bruder	117816	58	Gerbstedt	"bRu:.d6	ˈb ʁ uː . d ɐ 	2	CCVC.CV	PLV:.PV	521.51	s.w	WEH64AW1_g
Bruder	137182	59	Altenberg/Erzg	"bRu:.dA	ˈb ʁ uː . d ɑ 	2	CCVC.CV	PLV:.PV	521.51	s.w	WEH06AW1_g
Bruder	124917	60	Jürgenshagen	"bRaU.d@	ˈb ʁ aʊ . d ə 	2	CCVC.CV	PLVV.PV	521.51	s.w	WEG56AW1_g
Bruder	104872	61	Astfeld	"bRaU.@	ˈb ʁ aʊ . ə 	2	CCVC.V	PLVV.V	521.1	s.w	WEC62AW1_g
Bruder	100120	62	Orferode	"bRu:.R@R	ˈb ʁ uː . ʁ ə ʁ 	2	CCVC.CVC	PLV:.LVL	521.212	s.w	WEE29AW1_g
Bruder	108461	63	Wasbüttel	"bRaU.6	ˈb ʁ aʊ . ɐ 	2	CCVC.V	PLVV.V	521.1	s.w	WEF77AW1_g
Bruder	94235	64	Lohra	"bRoU.d@R	ˈb ʁ oʊ . d ə ʁ 	2	CCVC.CVC	PLVV.PVL	521.512	s.w	WEJ03AW1_g
Bruder	142407	65	Schmannewitz	"bRu:.dA	ˈb ʁ uː . d ɑ 	2	CCVC.CV	PLV:.PV	521.51	s.w	WEH39AW1_g
Bruder	102330	66	Albersloh	"bRu:	ˈb ʁ uː 	1	CCVC	PLV:	521	s	WEG08AW1_g
Bruder	111294	67	Jeetzel	"bRO:.6	ˈb ʁ ɔː . ɐ 	2	CCVC.V	PLV:.V	521.1	s.w	WEF74AW1_g
Bruder	94066	68	Oberwürzbach	"bRu:.R@	ˈb ʁ uː . ʁ ə 	2	CCVC.CV	PLV:.LV	521.21	s.w	WEC92AW1_g
Bruder	103582	69	Brockhausen	"bRo:.6	ˈb ʁ oː . ɐ 	2	CCVC.V	PLV:.V	521.1	s.w	WEC78AW1_g
Bruder	126340	70	Benzingerode/Wernigerode	"bRaU.d6	ˈb ʁ aʊ . d ɐ 	2	CCVC.CV	PLVV.PV	521.51	s.w	WEG87AW1_g
Bruder	110821	71	Hohwacht	"bRoU.d@	ˈb ʁ oʊ . d ə 	2	CCVC.CV	PLVV.PV	521.51	s.w	WE847AW1_g
Bruder	96254	72	Lohrhaupten	"bRu:.d@	ˈb ʁ uː . d ə 	2	CCVC.CV	PLV:.PV	521.51	s.w	WEE92AW1_g
Bruder	110375	73	Barßel	"bROI.@	ˈb ʁ ɔɪ . ə 	2	CCVC.V	PLVV.V	521.1	s.w	WEJ67AW1_g
Bruder	125086	74	GroßJamno/Forst	"bRu:.?6	ˈb ʁ uː . ʔ ɐ 	2	CCVC.CV	PLV:.PV	521.51	s.w	WEG97AW1_g
Bruder	141434	75	Mockern/Altenburg	"bRo:.d6	ˈb ʁ oː . d ɐ 	2	CCVC.CV	PLV:.PV	521.51	s.w	WEG83AW1_g
Bruder	97496	76	Bremscheid	"bRaU_\.6	ˈb ʁ aʊ̂ . ɐ 	2	CCVC.V	PLVV.V	521.1	s.w	WEG15AW1_g
Bruder	121678	77	Ruhlsdorf/Luckenwalde	"bRu:.d6	ˈb ʁ uː . d ɐ 	2	CCVC.CV	PLV:.PV	521.51	s.w	WEG91AW1_g
Bruder	103623	78	Herrentrup	"bR9:.6	ˈb ʁ œː . ɐ 	2	CCVC.V	PLV:.V	521.1	s.w	WEC79AW1_g
Bruder	72938	79	Hartenstein	"bRoU.d6	ˈb ʁ oʊ . d ɐ 	2	CCVC.CV	PLVV.PV	521.51	s.w	WED52AW1_g
Bruder	139171	80	Exdorf	"bRu.d@	ˈb ʁ u . d ə 	2	CCV.CV	PLV.PV	521.51	s.w	WEH54AW1_g
Bruder	127102	81	Atzendorf(Straßfurt)	"bRaU.d6	ˈb ʁ aʊ . d ɐ 	2	CCVC.CV	PLVV.PV	521.51	s.w	WEG88AW1_g
Bruder	134531	82	Odenspiel	"bRu:_\.@	ˈb ʁ uː̂ . ə 	2	CCVC.V	PLV:.V	521.1	s.w	WEG10AW1_g
Bruder	127805	83	Kleinbottwar	"bRu:.d6	ˈb ʁ uː . d ɐ 	2	CCVC.CV	PLV:.PV	521.51	s.w	WEG39AW1_g
Bruder	112022	84	Ebstorf	"pR6U.@	ˈp ʁ ɐʊ . ə 	2	CCVC.V	PLVV.V	521.1	s.w	WEF75AW1_g
Bruder	97362	85	Ensheim	"bRu:.d@	ˈb ʁ uː . d ə 	2	CCVC.CV	PLV:.PV	521.51	s.w	WED05AW1_g
Bruder	133354	86	Iggingen	"bRu:.dR	ˈb ʁ uː . d ʁ 	2	CCVC.CV	PLV:.PL	521.52	s.w	WED01AW1_g
Bruder	131625	87	Oberhomberg	"bRU@.t@	ˈb ʁ ʊə . t ə 	2	CCVC.CV	PLVV.PV	521.51	s.w	WED40AW1_g
Bruder	71182	88	Schachach	"bRu.d6	ˈb ʁ u . d ɐ 	2	CCV.CV	PLV.PV	521.51	s.w	WED27AW1_g
Bruder	112823	89	Oiste	"bRoU.@	ˈb ʁ oʊ . ə 	2	CCVC.V	PLVV.V	521.1	s.w	WEG01AW1_g
Bruder	137105	90	Ebertshausen	"bRu:@.d@	ˈb ʁ uːə . d ə 	2	CCVC.CV	PLVV.PV	521.51	s.w	WEH53AW1_g
Bruder	102156	91	Herdecke	"bRaU.@	ˈb ʁ aʊ . ə 	2	CCVC.V	PLVV.V	521.1	s.w	WEG09AW1_g
Bruder	106912	92	Brelingen	"bRaU.6	ˈb ʁ aʊ . ɐ 	2	CCVC.V	PLVV.V	521.1	s.w	WEF80AW1_g
Bruder	105687	93	Osterhagen	"bRaU.@	ˈb ʁ aʊ . ə 	2	CCVC.V	PLVV.V	521.1	s.w	WEC69AW1_g
Bruder	80157	94	Obermaiselstein	"bRY@.d@R	ˈb ʁ ʏə . d ə ʁ 	2	CCVC.CVC	PLVV.PVL	521.512	s.w	WED42AW1_g
Bruder	77989	95	Wildpoldsried	"bRu.d@R	ˈb ʁ u . d ə ʁ 	2	CCV.CVC	PLV.PVL	521.512	s.w	WEG35AW1_g
Bruder	119195	96	Wolgast	"bRaU.d@	ˈb ʁ aʊ . d ə 	2	CCVC.CV	PLVV.PV	521.51	s.w	WE953AW1_g
Bruder	93455	97	Klafferstraß	"bRu6.d6	ˈb ʁ uɐ . d ɐ 	2	CCVC.CV	PLVV.PV	521.51	s.w	WED47AW1_g
Bruder	132113	98	Seelbach	"bRo:.d6	ˈb ʁ oː . d ɐ 	2	CCVC.CV	PLV:.PV	521.51	s.w	WEC97AW1_g
Bruder	122830	99	Hundisburg	"bRaU.dO	ˈb ʁ aʊ . d ɔ 	2	CCVC.CV	PLVV.PV	521.51	s.w	WEG78AW1_g
Bruder	142982	100	Cursdorf	"bRu:.d6	ˈb ʁ uː . d ɐ 	2	CCVC.CV	PLV:.PV	521.51	s.w	WEG79AW1_g
Bruder	116692	101	Grossenwiehe	"bROU.d6	ˈb ʁ ɔʊ . d ɐ 	2	CCVC.CV	PLVV.PV	521.51	s.w	WEF63AW1_g
Bruder	123486	102	Landgrafroda/Querfurt	"bRu:.d6	ˈb ʁ uː . d ɐ 	2	CCVC.CV	PLV:.PV	521.51	s.w	WEG89AW1_g
Bruder	72112	103	Maibrunn/Straubing	"bRu6.d6R	ˈb ʁ uɐ . d ɐ ʁ 	2	CCVC.CVC	PLVV.PVL	521.512	s.w	WEG28AW1_g
Bruder	124194	104	Vietmannsdorf	"bRu:.d6	ˈb ʁ uː . d ɐ 	2	CCVC.CV	PLV:.PV	521.51	s.w	WEG74AW1_g
Bruder	101005	105	Frohnhausen/Battenberg	"bRu:.R@	ˈb ʁ uː . ʁ ə 	2	CCVC.CV	PLV:.LV	521.21	s.w	WEF47AW1_g
Bruder	118512	106	Bennin	"bRaU.d@	ˈb ʁ aʊ . d ə 	2	CCVC.CV	PLVV.PV	521.51	s.w	WEJ39AW1_g
Bruder	80214	107	Ramsau	"bRu6.d6	ˈb ʁ uɐ . d ɐ 	2	CCVC.CV	PLVV.PV	521.51	s.w	WEG33AW1_g
Bruder	112685	108	Eversen	"pR6U.@	ˈp ʁ ɐʊ . ə 	2	CCVC.V	PLVV.V	521.1	s.w	WEF78AW1_g
Bruder	87629	109	Zellingen	"bRu:.d@	ˈb ʁ uː . d ə 	2	CCVC.CV	PLV:.PV	521.51	s.w	WED03AW1_g
Bruder	136865	110	Helmers	"bRU@.d@	ˈb ʁ ʊə . d ə 	2	CCVC.CV	PLVV.PV	521.51	s.w	WEG50AW1_g
Bruder	134449	111	Leuth	"bRo:.R@	ˈb ʁ oː . ʁ ə 	2	CCVC.CV	PLV:.LV	521.21	s.w	WEC86AW1_g
Bruder	126108	112	Götz/Brandenburg	"bRoU.d6	ˈb ʁ oʊ . d ɐ 	2	CCVC.CV	PLVV.PV	521.51	s.w	WEG99AW1_g
Bruder	100345	113	Tann	"bRu:.dR	ˈb ʁ uː . d ʁ 	2	CCVC.CV	PLV:.PL	521.52	s.w	WED21AW1_g
Bruder	120820	114	Breddin	"bRo:.d@	ˈb ʁ oː . d ə 	2	CCVC.CV	PLV:.PV	521.51	s.w	WEG72AW1_g
Bruder	131478	115	Bempflingen	"bRu:.dR	ˈb ʁ uː . d ʁ 	2	CCVC.CV	PLV:.PL	521.52	s.w	WED00AW1_g
Bruder	103217	116	Niederschelden	"bRu.d6	ˈb ʁ u . d ɐ 	2	CCV.CV	PLV.PV	521.51	s.w	WEH34AW1_g
Bruder	89340	117	Schnepfenbach	"bRU6.d@R	ˈb ʁ ʊɐ . d ə ʁ 	2	CCVC.CVC	PLVV.PVL	521.512	s.w	WED37AW1_g
Bruder	132665	118	Pfaffenrot	"bRU:.d6	ˈb ʁ ʊː . d ɐ 	2	CCVC.CV	PLV:.PV	521.51	s.w	WEC95AW1_g
Bruder	102355	119	Wüllen	"bR2:.6	ˈb ʁ øː . ɐ 	2	CCVC.V	PLV:.V	521.1	s.w	WEC82AW1_g
Bruder	80028	120	Eichenhofen	"bRoU.d6	ˈb ʁ oʊ . d ɐ 	2	CCVC.CV	PLVV.PV	521.51	s.w	WED50AW1_g
Bruder	126543	121	Schraden	"bRu:.dA	ˈb ʁ uː . d ɑ 	2	CCVC.CV	PLV:.PV	521.51	s.w	WEH20AW1_g
Bruder	89144	122	Maxweiler(Übergangsgebiet)	"bRuO.d6	ˈb ʁ uɔ . d ɐ 	2	CCVC.CV	PLVV.PV	521.51	s.w	WED33AW1_g
Bruder	94232	123	Dexbach	"bRu:.RE	ˈb ʁ uː . ʁ ɛ 	2	CCVC.CV	PLV:.LV	521.21	s.w	WEF49AW1_g
Bruder	118165	124	Falkenthal	"bRo:.d@	ˈb ʁ oː . d ə 	2	CCVC.CV	PLV:.PV	521.51	s.w	WEG73AW1_g
Bruder	97293	125	Hönebach	"bRO:.R@	ˈb ʁ ɔː . ʁ ə 	2	CCVC.CV	PLV:.LV	521.21	s.w	WEG12AW1_g
Bruder	94091	126	Rosenthal	"bRy:.R6	ˈb ʁ yː . ʁ ɐ 	2	CCVC.CV	PLV:.LV	521.21	s.w	WEF07AW1_g
Bruder	99867	127	Ungstein	"bRu:.R@	ˈb ʁ uː . ʁ ə 	2	CCVC.CV	PLV:.LV	521.21	s.w	WEG38AW1_g
Bruder	107244	128	Schwabstedt	"bROU.d6	ˈb ʁ ɔʊ . d ɐ 	2	CCVC.CV	PLVV.PV	521.51	s.w	WEF62AW1_g
Bruder	115354	129	Kuhstedt	"pR6U.6	ˈp ʁ ɐʊ . ɐ 	2	CCVC.V	PLVV.V	521.1	s.w	WEF68AW1_g
Bruder	118882	130	Grünow	"bRu:.d6	ˈb ʁ uː . d ɐ 	2	CCVC.CV	PLV:.PV	521.51	s.w	WEG76AW1_g
Bruder	117629	131	Hammah	"bROU.d@	ˈb ʁ ɔʊ . d ə 	2	CCVC.CV	PLVV.PV	521.51	s.w	WEF71AW1_g
Bruder	136673	132	Theuma	"bRu:.do	ˈb ʁ uː . d o 	2	CCVC.CV	PLV:.PV	521.51	s.w	WEG80AW1_g
Bruder	108547	133	WentorfAS	"pRAU.R@	ˈp ʁ ɑʊ . ʁ ə 	2	CCVC.CV	PLVV.LV	521.21	s.w	WEF73AW1_g
Bruder	107810	134	Jesteburg	"bROI.@	ˈb ʁ ɔɪ . ə 	2	CCVC.V	PLVV.V	521.1	s.w	WEF72AW1_g
Bruder	126983	135	Schönbeck	"bRo:.x6	ˈb ʁ oː . x ɐ 	2	CCVC.CV	PLV:.FV	521.41	s.w	WEG67AW1_g
Bruder	99705	136	Allna	"bROU.R@R	ˈb ʁ ɔʊ . ʁ ə ʁ 	2	CCVC.CVC	PLVV.LVL	521.212	s.w	WED08AW1_g
Bruder	74385	137	Pöttmes	"bRu6.d6	ˈb ʁ uɐ . d ɐ 	2	CCVC.CV	PLVV.PV	521.51	s.w	WED32AW1_g
Bruder	98830	138	Niederasphe	"bRu:.dE	ˈb ʁ uː . d ɛ 	2	CCVC.CV	PLV:.PV	521.51	s.w	WEF50AW1_g
Bruder	98997	139	Röhrda	"bRu:.d6	ˈb ʁ uː . d ɐ 	2	CCVC.CV	PLV:.PV	521.51	s.w	WEF98AW1_g
Bruder	141827	140	Lampertswalde	"bRu:.d6	ˈb ʁ uː . d ɐ 	2	CCVC.CV	PLV:.PV	521.51	s.w	WEH38AW1_g
Bruder	138617	141	Jonsdorf	"bRu:@	ˈb ʁ uːə 	1	CCVC	PLVV	521	s	WEH17AW1_g
Bruder	130378	142	Eschelbronn	"bRu:.d6	ˈb ʁ uː . d ɐ 	2	CCVC.CV	PLV:.PV	521.51	s.w	WEC94AW1_g
Bruder	112854	143	Ohrdorf	"bRoU.@	ˈb ʁ oʊ . ə 	2	CCVC.V	PLVV.V	521.1	s.w	WEF76AW1_g
Bruder	122935	144	Pretzsch/Wittenberg	"bRu:.d6	ˈb ʁ uː . d ɐ 	2	CCVC.CV	PLV:.PV	521.51	s.w	WEG90AW1_g
Bruder	78096	145	Volkershausen	"bRu:6.d@R	ˈb ʁ uːɐ . d ə ʁ 	2	CCVC.CVC	PLVV.PVL	521.512	s.w	WED38AW1_g
Bruder	138212	146	Rosswein	"bRu:@.d6	ˈb ʁ uːə . d ɐ 	2	CCVC.CV	PLVV.PV	521.51	s.w	WEH18AW1_g
Bruder	96991	147	Bruch	"bRu:_\.d6	ˈb ʁ uː̂ . d ɐ 	2	CCVC.CV	PLV:.PV	521.51	s.w	WEE63AW1_g
Bruder	105112	148	Wangerooge	"bRo:.6	ˈb ʁ oː . ɐ 	2	CCVC.V	PLV:.V	521.1	s.w	WEJ75AW1_g
Bruder	71626	149	Oberviehbach	"bRu6.d6	ˈb ʁ uɐ . d ɐ 	2	CCVC.CV	PLVV.PV	521.51	s.w	WED46AW1_g
Bruder	98572	150	Gottsbüren/Hofgeismar	"bRo:6	ˈb ʁ oːɐ 	1	CCVC	PLVV	521	s	WEF95AW1_g
Bruder	121128	151	NeuSchadow/Lübben	"bRu:.d6	ˈb ʁ uː . d ɐ 	2	CCVC.CV	PLV:.PV	521.51	s.w	WEG94AW1_g
Bruder	117389	152	Wieda	"bRu:.d6	ˈb ʁ uː . d ɐ 	2	CCVC.CV	PLV:.PV	521.51	s.w	WEC56AW1_g
Bruder	104396	153	EngterHuxelort	"bRo:	ˈb ʁ oː 	1	CCVC	PLV:	521	s	WEC81AW1_g
Bruder	140999	154	Gornsdorf	"bRu:.d6	ˈb ʁ uː . d ɐ 	2	CCVC.CV	PLV:.PV	521.51	s.w	WEH70AW1_g
Bruder	109126	155	Holmkjer	"pRo:.R@	ˈp ʁ oː . ʁ ə 	2	CCVC.CV	PLV:.LV	521.21	s.w	WEF64AW1_g
Bruder	101858	156	Hesselteich	"bRo:6	ˈb ʁ oːɐ 	1	CCVC	PLVV	521	s	WEG07AW1_g
Bruder	100376	157	Winterspelt	"bRu:_\.d@	ˈb ʁ uː̂ . d ə 	2	CCVC.CV	PLV:.PV	521.51	s.w	WEG20AW1_g
Bruder	105310	158	Herssum	"bRaU.@	ˈb ʁ aʊ . ə 	2	CCVC.V	PLVV.V	521.1	s.w	WEG03AW1_g
Bruder	77404	159	Nürnberg	"bRU:.d@	ˈb ʁ ʊː . d ə 	2	CCVC.CV	PLV:.PV	521.51	s.w	WEF14AW1_g
Bruder	115080	160	Ahrbergen	"bRaU.6	ˈb ʁ aʊ . ɐ 	2	CCVC.V	PLVV.V	521.1	s.w	WEF99AW1_g
Bruder	534378	161	Reelkirchen	"bRoU.v6	ˈb ʁ oʊ . v ɐ 	2	CCVC.CV	PLVV.FV	521.41	s.w	WEC80AW1_g
Bruder	93399	162	Hermannsreuth	"bRoU.d6	ˈb ʁ oʊ . d ɐ 	2	CCVC.CV	PLVV.PV	521.51	s.w	WEG27AW1_g
Bruder	101119	163	Adorf	"bRo:.d6	ˈb ʁ oː . d ɐ 	2	CCVC.CV	PLV:.PV	521.51	s.w	WEC77AW1_g
Bruder	90559	164	Treffelstein	"bRU6.d6	ˈb ʁ ʊɐ . d ɐ 	2	CCVC.CV	PLVV.PV	521.51	s.w	WED51AW1_g
Bruder	135360	165	Aachen	"bRo:6_\	ˈb ʁ oːɐ̂ 	1	CCVC	PLVV	521	s	WEJ47AW1_g
Bruder	122070	166	Verchen	"bRaU.d@	ˈb ʁ aʊ . d ə 	2	CCVC.CV	PLVV.PV	521.51	s.w	WEG62AW1_g
Bruder	88232	167	Altentrüdingen	"bRu:.dR	ˈb ʁ uː . d ʁ 	2	CCVC.CV	PLV:.PL	521.52	s.w	WED34AW1_g
Bruder	106665	168	Wasbek	"bR6U.R@	ˈb ʁ ɐʊ . ʁ ə 	2	CCVC.CV	PLVV.LV	521.21	s.w	WEJ62AW1_g
Bruder	110034	169	Theuma	"bR6U.@	ˈb ʁ ɐʊ . ə 	2	CCVC.V	PLVV.V	521.1	s.w	WEJ69AW1_g
Bruder	115632	170	Warpe	"bR@U.@	ˈb ʁ əʊ . ə 	2	CCVC.V	PLVV.V	521.1	s.w	WEJ68AW1_g
Bruder	124734	171	Reetz/Belzig	"bRu:.l6	ˈb ʁ uː . l ɐ 	2	CCVC.CV	PLV:.LV	521.21	s.w	WEH01AW1_g
Bruder	98815	172	Niedernhausen	"bRu:.d6	ˈb ʁ uː . d ɐ 	2	CCVC.CV	PLV:.PV	521.51	s.w	WEJ36AW1_g
Bruder	131034	173	Horheim	"bR2:.dR	ˈb ʁ øː . d ʁ 	2	CCVC.CV	PLV:.PL	521.52	s.w	WED39AW1_g
Bruder	78677	174	Oberau	"bRu:.d6	ˈb ʁ uː . d ɐ 	2	CCVC.CV	PLV:.PV	521.51	s.w	WED43AW1_g
Bruder	96934	175	Einöllen	"bRu:.d6	ˈb ʁ uː . d ɐ 	2	CCVC.CV	PLV:.PV	521.51	s.w	WEG36AW1_g
Bruder	142682	176	Großballhausen	"bRu:.d6	ˈb ʁ uː . d ɐ 	2	CCVC.CV	PLV:.PV	521.51	s.w	WEG43AW1_g
Bruder	93295	177	Binswangen	"bRo:.dR	ˈb ʁ oː . d ʁ 	2	CCVC.CV	PLV:.PL	521.52	s.w	WED31AW1_g
Bruder	100418	178	Wittelsberg	"bRoU.d@R	ˈb ʁ oʊ . d ə ʁ 	2	CCVC.CVC	PLVV.PVL	521.512	s.w	WEF57AW1_g
Bruder	999	179	Standard	"bru:.d6	ˈbruː.dɐ	2	CCVC.CV	PLV:.PV	521.51	s.w	None
Bürste	96991	1	Bruch	"be:6St_/	ˈb eːɐ ʃ ť 	1	CVCCC	PVVFP	5145	s	WEE63AW1_g
Bürste	132113	2	Seelbach	"bi:6St	ˈb iːɐ ʃ t 	1	CVCCC	PVVFP	5145	s	WEC97AW1_g
Bürste	119269	3	Herzfeld	"b9st	ˈb œ s t 	1	CVCC	PVFP	5145	s	WEG69AW1_g
Bürste	110821	4	Hohwacht	"b9:s	ˈb œː s 	1	CVCC	PV:F	514	s	WE847AW1_g
Bürste	136417	5	Iversheim	"by:@S_/	ˈb yːə ʃ̌ 	1	CVCC	PVVF	514	s	WEC88AW1_g
Bürste	125086	6	GroßJamno/Forst	"bOS.t@	ˈb ɔ ʃ . t ə 	2	CVC.CV	PVF.PV	514.51	s.w	WEG97AW1_g
Bürste	81382	7	Ottowind	"bE6S.dn	ˈb ɛɐ ʃ . d n 	2	CVCC.CV	PVVF.PN	514.53	s.w	WED56AW1_g
Bürste	94091	8	Rosenthal	"bE6S.d@	ˈb ɛɐ ʃ . d ə 	2	CVCC.CV	PVVF.PV	514.51	s.w	WEF07AW1_g
Bürste	98815	9	Niedernhausen	"b9St	ˈb œ ʃ t 	1	CVCC	PVFP	5145	s	WEJ36AW1_g
Bürste	89144	10	Maxweiler(Übergangsgebiet)	"bE6St	ˈb ɛɐ ʃ t 	1	CVCCC	PVVFP	5145	s	WED33AW1_g
Bürste	73053	11	Langenbruck	"bi6S.dn	ˈb iɐ ʃ . d n 	2	CVCC.CV	PVVF.PN	514.53	s.w	WED26AW1_g
Bürste	118146	12	Mirow	"b9st	ˈb œ s t 	1	CVCC	PVFP	5145	s	WEG60AW1_g
Bürste	76974	13	Schauenstein	"b9S.dn	ˈb œ ʃ . d n 	2	CVC.CV	PVF.PN	514.53	s.w	WED55AW1_g
Bürste	123486	14	Landgrafroda/Querfurt	"bE:6S.d@	ˈb ɛːɐ ʃ . d ə 	2	CVCC.CV	PVVF.PV	514.51	s.w	WEG89AW1_g
Bürste	522626	15	Valdorf	"b2:.s@	ˈb øː . s ə 	2	CVC.CV	PV:.FV	51.41	s.w	WEF82AW1_g
Bürste	101858	16	Hesselteich	"b2:.sn	ˈb øː . s n 	2	CVC.CV	PV:.FN	51.43	s.w	WEG07AW1_g
Bürste	142544	17	Borstendorf/Erzg	"b9@St	ˈb œə ʃ t 	1	CVCCC	PVVFP	5145	s	WEG82AW1_g
Bürste	142982	18	Cursdorf	"b@RS.t@	ˈb ə ʁ ʃ . t ə 	2	CVCC.CV	PVLF.PV	5124.51	s.w	WEG79AW1_g
Bürste	127102	19	Atzendorf(Straßfurt)	"bO@S.t@	ˈb ɔə ʃ . t ə 	2	CVCC.CV	PVVF.PV	514.51	s.w	WEG88AW1_g
Bürste	126543	20	Schraden	"bI@S.d@	ˈb ɪə ʃ . d ə 	2	CVCC.CV	PVVF.PV	514.51	s.w	WEH20AW1_g
Bürste	103217	21	Niederschelden	"bY6s_/.t@	ˈb ʏɐ š . t ə 	2	CVCC.CV	PVVF.PV	514.51	s.w	WEH34AW1_g
Bürste	114794	22	Jever	"b9.sl	ˈb œ . s l 	2	CV.CV	PV.FL	51.42	s.w	WEJ65AW1_g
Bürste	108461	23	Wasbüttel	"b9s.ts@	ˈb œ s . ts ə 	2	CVC.CV	PVF.AV	514.541	s.w	WEF77AW1_g
Bürste	102156	24	Herdecke	"b2:.sl	ˈb øː . s l 	2	CVC.CV	PV:.FL	51.42	s.w	WEG09AW1_g
Bürste	141322	25	Wehrsdorf	"bORS.t@	ˈb ɔ ʁ ʃ . t ə 	2	CVCC.CV	PVLF.PV	5124.51	s.w	WEJ49AW1_g
Bürste	80157	26	Obermaiselstein	"ve:S.d@	ˈv eː ʃ . d ə 	2	CVCC.CV	FV:F.PV	414.51	s.w	WED42AW1_g
Bürste	73067	27	Gelting	"bY6S.tn	ˈb ʏɐ ʃ . t n 	2	CVCC.CV	PVVF.PN	514.53	s.w	WED28AW1_g
Bürste	92088	28	Kemmern	"by:@.Zn	ˈb yːə . ʒ n 	2	CVC.CV	PVV.FN	51.43	s.w	WED53AW1_g
Bürste	77404	29	Nürnberg	bE6S."?N	b ɛɐ ʃ . ˈʔ ŋ 	2	CVCC.CV	PVVF.PN	514.53	w.s	WEF14AW1_g
Bürste	110034	30	Theuma	"b9s.t@	ˈb œ s . t ə 	2	CVC.CV	PVF.PV	514.51	s.w	WEJ69AW1_g
Bürste	98052	31	Herbornseelbach	"b9St	ˈb œ ʃ t 	1	CVCC	PVFP	5145	s	WEE81AW1_g
Bürste	111294	32	Jeetzel	"b9@s	ˈb œə s 	1	CVCC	PVVF	514	s	WEF74AW1_g
Bürste	79153	33	Ulbering	"bI6S.t@	ˈb ɪɐ ʃ . t ə 	2	CVCC.CV	PVVF.PV	514.51	s.w	WED45AW1_g
Bürste	94235	34	Lohra	"bUSt	ˈb ʊ ʃ t 	1	CVCC	PVFP	5145	s	WEJ03AW1_g
Bürste	116270	35	Clausthal-Zellerfeld	"b9St	ˈb œ ʃ t 	1	CVCC	PVFP	5145	s	WEC48AW1_g
Bürste	81534	36	Weidenbach	"b96S.dn	ˈb œɐ ʃ . d n 	2	CVCC.CV	PVVF.PN	514.53	s.w	WED35AW1_g
Bürste	97056	37	Hermeskeil	"be:6St_/	ˈb eːɐ ʃ ť 	1	CVCCC	PVVFP	5145	s	WEE66AW1_g
Bürste	106912	38	Brelingen	"b9.s@	ˈb œ . s ə 	2	CV.CV	PV.FV	51.41	s.w	WEF80AW1_g
Bürste	138617	39	Jonsdorf	"bYS.t@	ˈb ʏ ʃ . t ə 	2	CVC.CV	PVF.PV	514.51	s.w	WEH17AW1_g
Bürste	101119	40	Adorf	"by:@s.t@	ˈb yːə s . t ə 	2	CVCC.CV	PVVF.PV	514.51	s.w	WEC77AW1_g
Bürste	96433	41	Siebenbach	"by:@St_/	ˈb yːə ʃ ť 	1	CVCCC	PVVFP	5145	s	WEC89AW1_g
Bürste	117629	42	Hammah	"b9:s	ˈb œː s 	1	CVCC	PV:F	514	s	WEF71AW1_g
Bürste	98997	43	Röhrda	"bE6S.dn	ˈb ɛɐ ʃ . d n 	2	CVCC.CV	PVVF.PN	514.53	s.w	WEF98AW1_g
Bürste	98572	44	Gottsbüren/Hofgeismar	"bY@s.t@	ˈb ʏə s . t ə 	2	CVCC.CV	PVVF.PV	514.51	s.w	WEF95AW1_g
Bürste	100553	45	Eisenbach	"b9St	ˈb œ ʃ t 	1	CVCC	PVFP	5145	s	WEE59AW1_g
Bürste	121678	46	Ruhlsdorf/Luckenwalde	"bEs.t@	ˈb ɛ s . t ə 	2	CVC.CV	PVF.PV	514.51	s.w	WEG91AW1_g
Bürste	96254	47	Lohrhaupten	"bY@S.t@	ˈb ʏə ʃ . t ə 	2	CVCC.CV	PVVF.PV	514.51	s.w	WEE92AW1_g
Bürste	116692	48	Grossenwiehe	"b9:s	ˈb œː s 	1	CVCC	PV:F	514	s	WEF63AW1_g
Bürste	124534	49	Hagen	"b9st	ˈb œ s t 	1	CVCC	PVFP	5145	s	WEG52AW1_g
